#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
3 52197.46079 15.037 0.015
3 52198.31240 15.026 0.011
3 52199.31925 14.980 0.013
3 52203.34591 14.979 0.013
3 52205.31189 15.037 0.013
3 52206.39601 15.070 0.013
3 52221.52443 16.040 0.017
3 52227.40660 16.406 0.010
3 52230.38815 16.619 0.017
3 52234.30814 16.840 0.013
3 52257.30878 17.578 0.031
3 52266.30102 17.769 0.039
3 52267.32734 17.775 0.036
3 52320.17340 18.977 0.047
4 52195.43986 14.984 0.011
4 52196.45983 14.950 0.015
4 52197.46190 14.899 0.015
4 52198.31420 14.893 0.020
4 52199.32105 14.859 0.026
4 52203.34770 14.879 0.015
4 52205.31368 14.929 0.017
4 52206.38692 14.964 0.016
4 52206.39782 14.975 0.015
4 52221.52050 15.621 0.016
4 52221.52625 15.610 0.013
4 52227.40840 15.844 0.011
4 52230.38994 16.072 0.015
4 52234.30993 16.355 0.021
4 52257.31128 17.191 0.017
4 52266.30351 17.500 0.034
4 52267.32983 17.481 0.032
4 52320.17588 19.116 0.049
5 52195.44131 15.031 0.012
5 52196.46075 14.986 0.020
5 52197.46284 14.964 0.021
5 52198.31565 14.990 0.013
5 52199.32285 15.009 0.024
5 52203.34913 15.116 0.014
5 52205.31514 15.196 0.015
5 52206.38839 15.251 0.021
5 52206.39929 15.246 0.013
5 52221.52770 15.400 0.018
5 52227.40985 15.529 0.012
5 52230.39140 15.690 0.016
5 52234.31138 16.011 0.013
5 52257.31310 17.084 0.021
5 52266.30530 17.410 0.036
5 52320.17766 19.207 0.121
sn01fe
1 52227.49497 14.177 0.124
1 52233.45095 14.577 0.039
1 52235.45403 14.686 0.066
1 52257.46042 17.184 0.035
1 52263.39328 17.701 0.072
1 52266.46172 17.797 0.039
1 52267.48736 17.861 0.044
1 52283.32250 18.188 0.048
1 52292.33936 18.433 0.079
1 52320.25019 19.127 0.151
2 52227.49880 14.775 0.016
2 52233.45484 14.872 0.020
2 52235.45795 14.981 0.017
2 52255.52802 16.802 0.021
2 52257.45083 16.973 0.016
2 52263.39719 17.398 0.020
2 52266.46564 17.591 0.028
2 52267.49128 17.548 0.016
2 52283.32640 17.984 0.034
2 52292.34326 18.189 0.055
2 52320.25410 18.612 0.037
3 52227.50128 14.746 0.019
3 52229.38454 14.720 0.027
3 52233.45801 14.770 0.017
3 52235.46116 14.838 0.012
3 52255.53120 15.930 0.025
3 52257.45404 15.997 0.014
3 52263.40037 16.342 0.019
3 52266.46881 16.550 0.016
3 52267.49448 16.589 0.011
3 52283.32957 17.116 0.017
3 52292.34645 17.353 0.017
3 52320.25727 18.082 0.022
4 52227.50308 14.749 0.023
4 52229.38701 14.708 0.030
4 52233.46049 14.816 0.020
4 52235.46366 14.845 0.018
4 52255.53369 15.541 0.023
4 52257.45654 15.647 0.018
4 52263.40288 15.911 0.022
4 52266.47128 16.105 0.015
4 52267.49696 16.176 0.012
4 52283.33204 16.824 0.019
4 52292.34896 17.182 0.025
4 52320.25975 17.989 0.028
5 52255.53550 15.509 0.031
5 52257.45834 15.506 0.019
5 52263.40469 15.641 0.026
5 52266.47308 15.844 0.017
5 52292.35075 17.095 0.020
5 52320.26153 17.899 0.150
sn01fh
1 52220.10258 17.505 0.093
1 52221.08561 17.549 0.089
1 52222.07096 17.571 0.082
1 52225.09123 17.582 0.064
1 52228.05774 17.887 0.068
1 52231.09824 18.231 0.069
1 52235.09314 19.100 0.102
2 52220.09313 17.408 0.017
2 52221.07517 17.358 0.020
2 52222.06084 17.332 0.020
2 52225.09583 17.267 0.019
2 52228.06236 17.371 0.017
2 52231.10286 17.656 0.021
2 52235.09774 18.148 0.026
2 52257.05852 19.984 0.099
2 52258.05850 19.908 0.102
2 52267.08271 20.213 0.134
3 52220.09632 16.940 0.019
3 52221.07906 16.858 0.018
3 52222.06472 16.837 0.019
3 52222.07598 16.799 0.017
3 52225.09972 16.725 0.018
3 52228.06624 16.717 0.015
3 52231.10671 16.872 0.019
3 52235.10161 17.198 0.021
3 52257.06241 18.751 0.061
3 52258.06238 18.790 0.040
3 52267.08660 19.096 0.070
4 52220.09883 16.399 0.017
4 52221.08155 16.342 0.016
4 52222.06723 16.353 0.020
4 52225.10221 16.210 0.016
4 52228.06873 16.301 0.017
4 52231.10919 16.541 0.018
4 52235.10409 16.784 0.019
4 52257.06491 18.066 0.035
