Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-23.9    +10.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.829  0.009     INDEF   INDEF    T50  
2018-02-24.2    +10.5    14.793  0.027     14.821  0.016     14.726  0.015     INDEF   INDEF    INDEF   INDEF    14.588  0.003     14.820  0.007     15.600  0.014     LCO  
2018-02-24.3    +10.6    INDEF   INDEF    14.854  0.024     14.745  0.019     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.773  0.016     15.583  0.029     DEMONEXT  
2018-02-24.6    +10.9    INDEF   INDEF    14.887  0.032     14.758  0.012     INDEF   INDEF    INDEF   INDEF    14.646  0.004     14.899  0.006     15.643  0.010     TNT  
2018-02-24.9    +11.2    INDEF   INDEF    INDEF   INDEF    14.649  0.126     14.695  0.081     15.102  0.039     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-02-25.2    +11.5    INDEF   INDEF     14.866  0.012     14.618  0.010     INDEF   INDEF    INDEF   INDEF    14.652  0.009     14.794  0.008     15.686  0.009     Swope  
2018-02-25.4    +11.7    14.885  0.032     14.903  0.018     14.769  0.017     INDEF   INDEF    INDEF   INDEF    14.683  0.004     14.947  0.008     INDEF   INDEF    LCO  
2018-02-25.8    +12.1    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.944  0.010     15.684  0.017     LCO  
2018-02-25.8    +12.1    INDEF   INDEF    INDEF   INDEF    14.809  0.076     14.767  0.076     15.171  0.035     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-02-26.1    +12.4    INDEF   INDEF    15.034  0.024     14.841  0.026     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.956  0.023     15.765  0.028     DEMONEXT  
2018-02-26.2    +12.5    INDEF   INDEF    15.028  0.031     14.856  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.969  0.006     15.757  0.011     PONM  
2018-02-26.2    +12.5    INDEF   INDEF     14.973  0.013     14.711  0.011     INDEF   INDEF    INDEF   INDEF    14.791  0.010     14.940  0.009     15.847  0.011     Swope  
2018-02-26.6    +12.9    INDEF   INDEF    15.070  0.032     14.860  0.011     INDEF   INDEF    INDEF   INDEF    14.780  0.006     15.055  0.007     15.827  0.012     TNT  
2018-02-27.2    +13.5    INDEF   INDEF    15.088  0.027     14.872  0.026     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.998  0.018     15.742  0.030     DEMONEXT  
2018-02-27.2    +13.5    INDEF   INDEF    15.061  0.016     14.790  0.013     INDEF   INDEF    INDEF   INDEF    14.879  0.012     15.019  0.012     15.913  0.016     Swope  
2018-02-27.3    +13.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.992  0.013     INDEF   INDEF    Gemini  
